bias,time,
0,1615879155.43924,
0,1615879155.63849,
0,1615879155.84002,
0,1615879156.04243,
0,1615879156.24279,
0,1615879156.44511,
0,1615879156.64653,
0,1615879156.84835,
0,1615879157.0499,
0,1615879157.25065,
0,1615879157.45365,
0,1615879157.65412,
0,1615879157.85641,
0,1615879158.0571,
0,1615879158.25954,
0,1615879158.46038,
0,1615879158.662,
0,1615879158.86424,
0,1615879159.06453,
0,1615879159.26632,
0,1615879159.4693,
0,1615879159.66971,
0,1615879159.87141,
0,1615879160.07347,
0,1615879160.27369,
0,1615879160.47685,
0,1615879160.67639,
0,1615879160.88163,
0,1615879161.08257,
0,1615879161.28333,
0,1615879161.4858,
0,1615879161.68614,
0,1615879161.89463,
0,1615879162.09578,
0,1615879162.29806,
0,1615879162.50039,
0,1615879162.70093,
0,1615879162.9006,
0,1615879163.10243,
0,1615879163.30491,
0,1615879163.50688,
0,1615879163.70724,
0,1615879163.91134,
0,1615879164.11206,
0,1615879164.31388,
0,1615879164.51498,
0,1615879164.71762,
0,1615879164.9198,
0,1615879165.11888,
0,1615879165.32198,
0,1615879165.52408,
0,1615879165.72504,
0,1615879165.92771,
0,1615879166.13117,
0,1615879166.33081,
0,1615879166.5333,
0,1615879166.73634,
0,1615879166.93864,
0,1615879167.14095,
0,1615879167.34321,
0,1615879167.54366,
0,1615879167.74539,
0,1615879167.94797,
0,1615879168.14993,
0,1615879168.35209,
0,1615879168.55366,
0,1615879168.75587,
0,1615879168.95696,
0,1615879169.16023,
0,1615879169.36388,
0,1615879169.56304,
0,1615879169.76488,
0,1615879169.96888,
0,1615879170.17132,
0,1615879170.37181,
0,1615879170.57589,
0,1615879170.7776,
0,1615879170.97866,
0,1615879171.17972,
0,1615879171.3814,
0,1615879171.58334,
0,1615879171.78486,
0,1615879171.98695,
0,1615879172.1894,
0,1615879172.39139,
0,1615879172.5925,
0,1615879172.79501,
0,1615879172.99984,
0,1615879173.20409,
0,1615879173.40807,
0,1615879173.60897,
0,1615879173.81091,
0,1615879174.01367,
0,1615879174.21362,
0,1615879174.4169,
0,1615879174.61795,
0,1615879174.8208,
0,1615879175.0205,
0,1615879175.22237,
0,1615879175.42517,
0,1615879175.62674,
0,1615879175.82831,
0,1615879176.03161,
0,1615879176.23217,
0,1615879176.43436,
0,1615879176.6357,
0,1615879176.83729,
0,1615879177.03947,
0,1615879177.24291,
0,1615879177.44327,
0,1615879177.64448,
0,1615879177.84718,
0,1615879178.04846,
0,1615879178.24891,
0,1615879178.45177,
0,1615879178.65349,
0,1615879178.85558,
0,1615879179.05589,
0,1615879179.25888,
0,1615879179.4616,
0,1615879179.66269,
0,1615879179.8651,
0,1615879180.06397,
0,1615879180.26615,
0,1615879180.4683,
0,1615879180.67163,
0,1615879180.87153,
0,1615879181.07424,
0,1615879181.27657,
0,1615879181.47887,
0,1615879181.68116,
0,1615879181.88243,
0,1615879182.09187,
0,1615879182.29362,
0,1615879182.4934,
0,1615879182.69678,
0,1615879182.89904,
0,1615879183.10262,
0,1615879183.30465,
0,1615879183.50982,
0,1615879183.70966,
0,1615879183.91177,
0,1615879184.1143,
0,1615879184.31539,
0,1615879184.51677,
0,1615879184.71901,
0,1615879184.92018,
0,1615879185.12314,
0,1615879185.32968,
0,1615879185.532,
0,1615879185.73396,
0,1615879185.93434,
0,1615879186.13708,
0,1615879186.3389,
0,1615879186.54157,
0,1615879186.74305,
0,1615879186.94272,
0,1615879187.14594,
0,1615879187.34692,
0,1615879187.54991,
0,1615879187.75169,
0,1615879187.95267,
0,1615879188.157,
0,1615879188.36032,
0,1615879188.56109,
0,1615879188.76319,
0,1615879188.96595,
0,1615879189.1656,
0,1615879189.36858,
0,1615879189.56849,
0,1615879189.77081,
0,1615879189.97256,
0,1615879190.17608,
0,1615879190.37625,
0,1615879190.57826,
0,1615879190.77906,
0,1615879190.98159,
0,1615879191.18219,
0,1615879191.38568,
0,1615879191.58772,
0,1615879191.78966,
0,1615879191.99146,
0,1615879192.19199,
0,1615879192.39655,
0,1615879192.59579,
0,1615879192.79931,
0,1615879193.00076,
0,1615879193.20149,
0,1615879193.40241,
0,1615879193.60489,
0,1615879193.80633,
0,1615879194.00907,
0,1615879194.21026,
0,1615879194.41181,
0,1615879194.61423,
0,1615879194.8159,
0,1615879195.01781,
0,1615879195.21964,
0,1615879195.42031,
0,1615879195.62341,
0,1615879195.82786,
0,1615879196.02893,
0,1615879196.22934,
0,1615879196.43067,
0,1615879196.63277,
0,1615879196.83497,
0,1615879197.03631,
0,1615879197.24014,
0,1615879197.44107,
0,1615879197.64253,
0,1615879197.84602,
0,1615879198.04625,
0,1615879198.25228,
0,1615879198.45274,
0,1615879198.65449,
0,1615879198.85555,
0,1615879199.05862,
0,1615879199.26055,
0,1615879199.46472,
0,1615879199.6663,
0,1615879199.86672,
0,1615879200.07046,
0,1615879200.27339,
0,1615879200.47327,
0,1615879200.67591,
0,1615879200.87592,
0,1615879201.07832,
0,1615879201.27881,
0,1615879201.48213,
0,1615879201.68338,
0,1615879201.88362,
0,1615879202.08611,
0,1615879202.28738,
0,1615879202.49069,
0,1615879202.69526,
0,1615879202.89677,
0,1615879203.09766,
0,1615879203.3041,
0,1615879203.5065,
